SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg
S92,20,10,Rainout,K,rain.K,16,4,RKBS4,20/07/2022,0-15cm,0.159,86.3,12.7,38.7,51.4,1.34,0.158,13.4,1.6,6.19,1.29,11,6.2,10.7,110,1
S93,21,11,Control,D,cont.D,16,4,CDBS4,20/07/2022,0-15cm,0.29,77.5,0.3,19.3,19.6,1.91,0.216,19.1,2.2,6.75,0.99,16.4,8.3,8.2,164,1.3
S94,22,11,Rainout,D,rain.D,16,4,RDBS4,20/07/2022,0-15cm,0.195,83.7,0,25.9,25.9,2.17,0.249,21.7,2.5,6.69,1.02,17.3,4.7,8.5,173,0.7
S95,23,12,Control,M,cont.M,16,4,CMBS4,20/07/2022,0-15cm,0.254,79.7,0.8,9,9.8,1.72,0.202,17.2,2,5.99,0.59,19.5,7.6,4.9,195,1.2
S96,24,12,Rainout,M,rain.M,16,4,RMBS4,20/07/2022,0-15cm,0.184,84.4,12.7,58.1,70.8,1.78,0.215,17.8,2.2,6.13,1.05,19.3,4.6,8.7,193,0.7
S97,1,1,Control,M,cont.M,17,1,CMBS5,13/09/2022,0-15cm,0.283,77.9,0.7,9.9,10.5,1.45,0.163,14.5,1.6,6.57,1.51,16.2,6.9,12.5,162,1.1
S98,2,1,Rainout,M,rain.M,17,1,RMBS5,13/09/2022,0-15cm,0.304,76.7,1.8,6.6,8.4,1.41,0.159,14.1,1.6,6.3,1,15.2,7.2,8.3,152,1.1
S99,3,2,Control,D,cont.D,17,1,CDBS5,13/09/2022,0-15cm,0.286,77.7,0.2,14.8,15,1.75,0.194,17.5,1.9,6.91,1.8,14.1,11.3,14.9,141,1.8
S100,4,2,Rainout,D,rain.D,17,1,RDBS5,13/09/2022,0-15cm,0.281,78.1,1.3,21.4,22.7,1.75,0.193,17.5,1.9,6.94,2.32,13.7,8.6,19.3,137,1.3
S101,5,3,Control,K,cont.K,17,1,CKBS5,13/09/2022,0-15cm,0.317,75.9,1.7,12,13.7,1.41,0.16,14.1,1.6,6.21,1.48,11.7,11.1,12.3,117,1.7
S102,6,3,Rainout,K,rain.K,17,1,RKBS5,13/09/2022,0-15cm,0.276,78.4,1.4,14.8,16.2,1.5,0.168,15,1.7,6.27,1.54,12.6,10.8,12.8,126,1.7
S103,7,4,Control,K,cont.K,18,2,CKBS5,13/09/2022,0-15cm,0.314,76.1,3.4,9,12.4,1.55,0.167,15.5,1.7,6.39,1.65,11.7,10.8,13.7,117,1.7
S104,8,4,Rainout,K,rain.K,18,2,RKBS5,13/09/2022,0-15cm,0.267,78.9,1.1,7.6,8.7,1.41,0.161,14.1,1.6,6.28,1.14,12.4,8,9.5,124,1.2
S105,9,5,Control,M,cont.M,18,2,CMBS5,13/09/2022,0-15cm,0.263,79.2,1.9,8.4,10.3,1.25,0.137,12.5,1.4,6.38,1.11,15.7,5.2,9.2,157,0.8
S106,10,5,Rainout,M,rain.M,18,2,RMBS5,13/09/2022,0-15cm,0.244,80.4,1.4,9.5,10.9,1.22,0.138,12.2,1.4,6.13,0.93,15.3,8.6,7.7,153,1.3
S107,11,6,Control,D,cont.D,18,2,CDBS5,13/09/2022,0-15cm,0.299,77,0,13.7,13.7,1.6,0.178,16,1.8,6.84,2.04,13.3,11.3,16.9,133,1.8
S108,12,6,Rainout,D,rain.D,18,2,RDBS5,13/09/2022,0-15cm,0.314,76.1,0,16.8,16.8,1.66,0.187,16.6,1.9,6.94,2.04,12.9,11.7,16.9,129,1.8
S109,13,7,Control,D,cont.D,19,3,CDBS5,13/09/2022,0-15cm,0.301,76.9,0.1,14.1,14.2,1.71,0.194,17.1,1.9,6.86,1.44,13.1,7.1,12,131,1.1
S110,14,7,Rainout,D,rain.D,19,3,RDBS5,13/09/2022,0-15cm,0.299,77,0.1,17.8,17.9,1.9,0.211,19,2.1,6.94,2.02,14.5,14.3,16.8,145,2.2
S111,15,8,Control,M,cont.M,19,3,CMBS5,13/09/2022,0-15cm,0.256,79.6,2.2,13.5,15.7,1.23,0.141,12.3,1.4,5.93,1.48,14.4,4.1,12.3,144,0.6
S112,16,8,Rainout,M,rain.M,19,3,RMBS5,13/09/2022,0-15cm,0.246,80.3,2.3,9.7,12,1.28,0.141,12.8,1.4,5.79,1.39,14.6,6.1,11.5,146,0.9
S113,17,9,Control,K,cont.K,19,3,CKBS5,13/09/2022,0-15cm,0.286,77.8,3.9,10.2,14,1.51,0.166,15.1,1.7,6.14,2.21,12.6,10.8,18.3,126,1.7
S114,18,9,Rainout,K,rain.K,19,3,RKBS5,13/09/2022,0-15cm,0.299,77,3.1,10.6,13.7,1.4,0.16,14,1.6,5.99,1.44,11.8,9.8,12,118,1.5
S115,19,10,Control,K,cont.K,20,4,CKBS5,13/09/2022,0-15cm,0.261,79.3,0.8,9.4,10.1,1.39,0.159,13.9,1.6,6.2,0.98,11.1,8.2,8.1,111,1.3
S116,20,10,Rainout,K,rain.K,20,4,RKBS5,13/09/2022,0-15cm,0.247,80.2,1.4,11.6,13,1.32,0.15,13.2,1.5,6.31,1.52,11.2,6.2,12.6,112,1
S117,21,11,Control,D,cont.D,20,4,CDBS5,13/09/2022,0-15cm,0.352,74,0.1,17,17.1,2.01,0.222,20.1,2.2,6.78,1.29,16.9,7.2,10.7,169,1.1
S118,22,11,Rainout,D,rain.D,20,4,RDBS5,13/09/2022,0-15cm,0.315,76,0.1,15.4,15.4,2.18,0.247,21.8,2.5,6.78,1.02,18.4,7.9,8.5,184,1.2
S119,23,12,Control,M,cont.M,20,4,CMBS5,13/09/2022,0-15cm,0.285,77.8,0.4,8.8,9.2,1.74,0.204,17.4,2,6.12,0.77,20.3,5.9,6.4,203,0.9
S120,24,12,Rainout,M,rain.M,20,4,RMBS5,13/09/2022,0-15cm,0.275,78.4,0.8,10.2,10.9,1.82,0.209,18.2,2.1,6.23,0.75,19,5.4,6.2,190,0.8
